post_idx,latitude_post,longitude_post,district_idx,district,latitude_dsct,longitude_dsct,metro_idx,metro,latitude_mtr,longitude_mtr
108805,54.566741,38.627764,75,Некрасовка,55.683793,37.928704,113,Некрасовка,55.702967,37.92803
108817,55.636646,37.25963,17,Внуковское,55.6335,37.290298,158,Рассказовка,55.633968,37.334747
108811,55.602988,37.347485,70,Московский,55.591116,37.371533,158,Рассказовка,55.633968,37.334747
108809,55.593064,37.20521,58,Марушкинское,55.59516,37.208273,158,Рассказовка,55.633968,37.334747
108829,55.32563100000001,37.348886,39,Кленовское,55.314208,37.326743,69,Коммунарка,55.560071,37.46865
108833,55.411665,37.185564,66,Михайлово-Ярцевское,55.397577,37.139696,158,Рассказовка,55.633968,37.334747
124460,55.991893000000005,37.214382,111,Старое Крюково,55.980895,37.199056,156,Пятницкое шоссе,55.855967,37.354132
143380,55.423958999999996,36.819859,66,Михайлово-Ярцевское,55.397577,37.139696,158,Рассказовка,55.633968,37.334747
108825,55.422074,37.397719,132,Щаповское,55.391631,37.380848,69,Коммунарка,55.560071,37.46865
108824,55.484733999999996,37.502947,95,Рязановское,55.482373,37.495707,31,Бунинская аллея,55.537964,37.515919
143330,55.344659,36.183753,66,Михайлово-Ярцевское,55.397577,37.139696,158,Рассказовка,55.633968,37.334747
108810,55.595913,37.108928000000006,40,Кокошкино,55.600165,37.169843,158,Рассказовка,55.633968,37.334747
108822,55.449342,37.521066,95,Рязановское,55.482373,37.495707,31,Бунинская аллея,55.537964,37.515919
143315,55.369439,36.79971,66,Михайлово-Ярцевское,55.397577,37.139696,158,Рассказовка,55.633968,37.334747
108830,55.315965000000006,37.177901,66,Михайлово-Ярцевское,55.397577,37.139696,158,Рассказовка,55.633968,37.334747
108808,55.53425,37.16068,86,Первомайское,55.519723,37.218334,158,Рассказовка,55.633968,37.334747
108827,55.37354200000001,37.379618,132,Щаповское,55.391631,37.380848,69,Коммунарка,55.560071,37.46865
108803,55.532365000000006,37.442347,19,Воскресенское,55.527326,37.4432,69,Коммунарка,55.560071,37.46865
108835,52.725086,17.656098999999998,66,Михайлово-Ярцевское,55.397577,37.139696,158,Рассказовка,55.633968,37.334747
121500,55.785103,37.357618,112,Строгино,55.803783,37.402695,109,Мякинино,55.82489,37.385331
143396,55.576905000000004,37.030874,40,Кокошкино,55.600165,37.169843,158,Рассказовка,55.633968,37.334747
108821,55.575219999999995,37.344332,122,Филимонковское,55.570014,37.322368,158,Рассказовка,55.633968,37.334747
117623,55.540012,37.573708,100,Северное Бутово,55.568914,37.570519,206,Улица Скобелевская,55.548044,37.554636
108828,55.430942,37.276213,45,Краснопахорское,55.421496,37.270661,158,Рассказовка,55.633968,37.334747
108818,55.511683999999995,37.345958,28,Десеновское,55.499571,37.36661,209,Филатов луг,55.601177,37.407995
108807,55.52171,37.220957,86,Первомайское,55.519723,37.218334,158,Рассказовка,55.633968,37.334747
105173,55.817163,37.865435999999995,22,Восточный,55.818983,37.866235,230,Щёлковская,55.809712,37.798583
108852,55.512494999999994,37.531864,135,Южное Бутово,55.542396,37.531523,203,Улица Горчакова,55.541932,37.531514
108814,55.568796999999996,37.478342,110,Сосенское,55.57833,37.465892,69,Коммунарка,55.560071,37.46865
123308,55.775626,37.497099,125,Хорошево-Мневники,55.777707,37.492078,215,Хорошёво,55.776917,37.507493
108816,55.657306000000005,37.334343,77,Ново-Переделкино,55.646081,37.357169,158,Рассказовка,55.633968,37.334747
108823,55.474163,37.544396,133,Щербинка,55.507525,37.567653,203,Улица Горчакова,55.541932,37.531514
108800,55.431585999999996,36.867057,66,Михайлово-Ярцевское,55.397577,37.139696,158,Рассказовка,55.633968,37.334747
