post_idx,index_weight,house_district,person_gender,Возрастной класс,person_exemption_group,sum,index_sum
117036,0.11024978466838932,Академический,f,18-25,Многодетные,100,11
117036,0.11024978466838932,Академический,f,18-25,,3895,429
117036,0.11024978466838932,Академический,f,25-45,Беременность,318,35
117036,0.11024978466838932,Академический,f,25-45,Инвалид,159,17
117036,0.11024978466838932,Академический,f,25-45,Малоимущие,3,0
117036,0.11024978466838932,Академический,f,25-45,Многодетные,550,60
117036,0.11024978466838932,Академический,f,25-45,Пенсионер,84,9
117036,0.11024978466838932,Академический,f,25-45,,16066,1771
117036,0.11024978466838932,Академический,f,45-60,,7955,877
117036,0.11024978466838932,Академический,f,60-75,Ветеран труда,2041,225
117036,0.11024978466838932,Академический,f,60-75,Инвалид,918,101
117036,0.11024978466838932,Академический,f,60-75,,2273,250
117036,0.11024978466838932,Академический,f,7-18,Беременность,3,0
117036,0.11024978466838932,Академический,f,7-18,Инвалид,6,0
117036,0.11024978466838932,Академический,f,7-18,Малоимущие,302,33
117036,0.11024978466838932,Академический,f,7-18,Многодетные,730,80
117036,0.11024978466838932,Академический,f,7-18,,4646,512
117036,0.11024978466838932,Академический,f,75-90,Ветеран труда,980,108
117036,0.11024978466838932,Академический,f,75-90,,1040,114
117036,0.11024978466838932,Академический,f,90<,Ветеран труда,19,2
117036,0.11024978466838932,Академический,f,90<,Инвалид,176,19
117036,0.11024978466838932,Академический,f,90<,Многодетные,1,0
117036,0.11024978466838932,Академический,m,18-25,Дети инвалиды,27,2
117036,0.11024978466838932,Академический,m,18-25,Инвалид,31,3
117036,0.11024978466838932,Академический,m,18-25,Многодетные,102,11
117036,0.11024978466838932,Академический,m,18-25,Пенсионер,127,14
117036,0.11024978466838932,Академический,m,18-25,,3497,385
117036,0.11024978466838932,Академический,m,45-60,Ветеран труда,29,3
117036,0.11024978466838932,Академический,m,45-60,Инвалид,366,40
117036,0.11024978466838932,Академический,m,45-60,Пенсионер,421,46
117036,0.11024978466838932,Академический,m,45-60,,7404,816
117036,0.11024978466838932,Академический,m,60-75,Инвалид,702,77
117036,0.11024978466838932,Академический,m,60-75,,2251,248
117036,0.11024978466838932,Академический,m,7-18,Инвалид,5,0
117036,0.11024978466838932,Академический,m,7-18,Молодые родители,1,0
117036,0.11024978466838932,Академический,m,75-90,Многодетные,1,0
117036,0.11024978466838932,Академический,m,90<,Многодетные,1,0
117036,0.11024978466838932,Академический,m,90<,Пенсионер,46,5
117036,0.11024978466838932,Академический,m,<7,Пенсионер,14,1
117036,0.11024978466838932,Академический,f,18-25,Дети инвалиды,22,2
117036,0.11024978466838932,Академический,f,18-25,Молодые родители,20,2
117036,0.11024978466838932,Академический,f,25-45,Ветеран труда,7,0
117036,0.11024978466838932,Академический,f,25-45,Дети инвалиды,2,0
117036,0.11024978466838932,Академический,f,25-45,Молодые родители,479,52
117036,0.11024978466838932,Академический,f,45-60,Беременность,18,1
117036,0.11024978466838932,Академический,f,45-60,Ветеран труда,237,26
117036,0.11024978466838932,Академический,f,45-60,Инвалид,310,34
117036,0.11024978466838932,Академический,f,45-60,Молодые родители,14,1
117036,0.11024978466838932,Академический,f,45-60,Пенсионер,1687,185
117036,0.11024978466838932,Академический,m,18-25,Ветеран труда,2,0
117036,0.11024978466838932,Академический,m,18-25,Малоимущие,39,4
117036,0.11024978466838932,Академический,m,25-45,Молодые родители,131,14
117036,0.11024978466838932,Академический,m,25-45,Пенсионер,117,12
117036,0.11024978466838932,Академический,m,45-60,Многодетные,438,48
117036,0.11024978466838932,Академический,m,45-60,Молодые родители,16,1
117036,0.11024978466838932,Академический,m,60-75,Ветеран труда,1085,119
117036,0.11024978466838932,Академический,m,60-75,Многодетные,18,1
117036,0.11024978466838932,Академический,m,7-18,,4689,516
117036,0.11024978466838932,Академический,m,75-90,Пенсионер,515,56
117036,0.11024978466838932,Академический,m,75-90,,587,64
117036,0.11024978466838932,Академический,m,90<,Инвалид,45,4
117036,0.11024978466838932,Академический,m,90<,,146,16
117036,0.11024978466838932,Академический,f,18-25,Беременность,4,0
117036,0.11024978466838932,Академический,f,18-25,Инвалид,22,2
117036,0.11024978466838932,Академический,f,18-25,Малоимущие,30,3
117036,0.11024978466838932,Академический,f,18-25,Пенсионер,138,15
117036,0.11024978466838932,Академический,f,45-60,Малоимущие,1,0
117036,0.11024978466838932,Академический,f,45-60,Многодетные,369,40
117036,0.11024978466838932,Академический,f,60-75,Многодетные,1,0
117036,0.11024978466838932,Академический,f,60-75,Пенсионер,4581,505
117036,0.11024978466838932,Академический,f,7-18,Дети инвалиды,88,9
117036,0.11024978466838932,Академический,f,7-18,Молодые родители,1,0
117036,0.11024978466838932,Академический,f,7-18,Пенсионер,106,11
117036,0.11024978466838932,Академический,f,75-90,Инвалид,1135,125
117036,0.11024978466838932,Академический,f,75-90,Пенсионер,1174,129
117036,0.11024978466838932,Академический,f,90<,Пенсионер,248,27
117036,0.11024978466838932,Академический,f,90<,,386,42
117036,0.11024978466838932,Академический,f,<7,Дети инвалиды,19,2
117036,0.11024978466838932,Академический,f,<7,Малоимущие,45,4
117036,0.11024978466838932,Академический,f,<7,Многодетные,96,10
117036,0.11024978466838932,Академический,f,<7,Пенсионер,14,1
117036,0.11024978466838932,Академический,f,<7,,2545,280
117036,0.11024978466838932,Академический,m,25-45,Ветеран труда,1,0
