metro,median_v_cnt,index_sum,arrival_cnt,inhabit_points,arrival_points,full_points
Пятницкое шоссе,122104.0,32944.0,89160.0,0.6529557578858023,0.00846718741705295,0.6614229453028553
Мякинино,171482.0,53468.0,118014.0,0.6304717312574237,0.011207342483581054,0.6416790737410047
Улица Скобелевская,137226.5,51053.0,86173.5,0.47092837964513173,0.008183570826417816,0.47911195047154953
Щёлковская,566744.0,2697.0,564047.0,0.016098976623021198,0.05356540669612455,0.06966438331914575
Хорошёво,69146.0,39645.0,29501.0,0.3629366651578158,0.0028015982053665217,0.3657382633631823
Орехово,159190.0,73671.0,85519.0,0.7004096308570331,0.008121415440993172,0.7085310462980263
Молодёжная,394832.5,13433.0,381399.5,0.10296494536731807,0.03622006558176633,0.1391850109490844
Перово,317617.5,45568.0,272049.5,0.3600468254719319,0.02583551035459339,0.3858823358265253
Алтуфьево,377056.5,17687.0,359369.5,0.13265047951018924,0.034127959942492264,0.1667784394526815
Мичуринский проспект,49692.0,12073.0,37619.0,0.09381823413184945,0.0035725339102973858,0.09739076804214683
Говорово,68608.5,44505.0,24103.5,0.4510724281175774,0.002289018078812649,0.45336144619639007
Октябрьское поле,361712.0,15831.0,345881.0,0.12657621520800882,0.032847008198717935,0.15942322340672677
Рязанский проспект,285640.0,32248.0,253392.0,0.279591721908697,0.024063678263592205,0.3036554001722892
Новогиреево,551077.0,27279.0,523798.0,0.21029668279345126,0.04974311164959063,0.26003979444304187
Октябрьская,323685.5,8894.0,314791.5,0.06696075005110605,0.02989455616638878,0.09685530621749483
Сокол,310209.5,20824.0,289385.5,0.17540988767081112,0.027481844597101575,0.20289173226791268
Динамо,362650.0,15043.0,347607.0,0.11478604682996675,0.03301091987976138,0.14779696670972814
Полянка,122236.0,4406.0,117830.0,0.03007731721610744,0.011189868700665647,0.041267185916773086
Третьяковская,250903.0,8284.0,242619.0,0.060118120707174046,0.02304060726713739,0.08315872797431144
Новокузнецкая,256199.5,6437.0,249762.5,0.0468057153986785,0.02371899839896464,0.07052471379764313
Ломоносовский проспект,109702.0,31356.0,78346.0,0.2584309180413904,0.007440222805926765,0.26587114084731717
Зорге,32271.0,20628.0,11643.0,0.16923385151633283,0.0011056916004570155,0.17033954311678984
